time,participant,order,category
0:01:47,participant12,2,0
0:01:52,participant12,2,0
0:01:55,participant12,2,0
0:01:56,participant12,2,0
0:01:58,participant12,2,0
0:02:00,participant12,2,0
0:02:03,participant12,2,0
0:02:04,participant12,2,0
0:02:05,participant12,2,1
0:02:08,participant12,2,0
0:02:15,participant12,2,0
0:02:16,participant12,2,0
0:02:19,participant12,2,0
0:02:20,participant12,2,0
0:02:24,participant12,2,0
0:02:31,participant12,2,0
0:02:34,participant12,2,0
0:02:39,participant12,2,0
0:02:41,participant12,2,0
0:02:45,participant12,2,0
0:02:59,participant12,2,0
0:03:01,participant12,2,0
0:03:04,participant12,2,0
0:03:06,participant12,2,0
0:03:18,participant12,2,0
0:03:24,participant12,2,0
0:03:28,participant12,2,0
0:03:30,participant12,2,0
0:03:30,participant12,2,0
0:03:34,participant12,2,0
0:03:36,participant12,2,0
0:03:38,participant12,2,0
0:03:39,participant12,2,0
0:03:41,participant12,2,0
0:03:42,participant12,2,0
0:03:43,participant12,2,0
0:03:47,participant12,2,0
0:03:51,participant12,2,0
0:03:52,participant12,2,0
0:03:53,participant12,2,0
0:03:58,participant12,2,0
0:04:00,participant12,2,0
0:04:00,participant12,2,0
0:04:02,participant12,2,0
0:04:04,participant12,2,0
0:04:05,participant12,2,0
0:04:07,participant12,2,0
0:04:09,participant12,2,0
0:04:12,participant12,2,0
0:04:12,participant12,2,0
0:04:14,participant12,2,0
0:04:16,participant12,2,0
0:04:17,participant12,2,0
0:04:18,participant12,2,0
0:04:19,participant12,2,0
0:04:22,participant12,2,0
0:04:24,participant12,2,0
0:04:25,participant12,2,0
0:04:27,participant12,2,0
0:04:29,participant12,2,0
0:04:30,participant12,2,0
0:04:32,participant12,2,0
0:04:33,participant12,2,0
0:04:35,participant12,2,0
0:04:37,participant12,2,0
0:04:39,participant12,2,0
0:04:40,participant12,2,0
0:04:44,participant12,2,0
0:04:45,participant12,2,0
0:04:47,participant12,2,1
0:04:48,participant12,2,0
0:04:50,participant12,2,0
0:04:50,participant12,2,0
0:04:51,participant12,2,0
0:04:52,participant12,2,0
0:04:53,participant12,2,0
0:04:55,participant12,2,0
0:04:57,participant12,2,0
0:04:58,participant12,2,0
0:05:00,participant12,2,0
0:05:00,participant12,2,0
0:05:03,participant12,2,0
0:05:04,participant12,2,0
0:05:06,participant12,2,0
0:05:07,participant12,2,0
0:05:12,participant12,2,0
